날짜    종가    시가    고가    저가    변동 %
2025년 11월 01일	23.05	22.07	23.55	22.06	+7.00%
2025년 10월 01일	21.54	24.56	25.17	21.54	-12.30%
2025년 09월 01일	24.56	19.86	24.62	17.50	+22.26%
2025년 08월 01일	20.09	22.12	22.64	19.69	-7.16%
2025년 07월 01일	21.64	26.66	26.67	21.64	-18.77%
2025년 06월 01일	26.64	29.08	29.16	26.57	-8.52%
2025년 05월 01일	29.12	31.63	31.66	29.11	-7.91%
2025년 04월 01일	31.62	38.17	51.76	31.58	-14.98%
2025년 03월 01일	37.19	29.02	37.22	29.02	+27.76%
2025년 02월 01일	29.11	35.07	35.07	28.03	-14.71%
2025년 01월 01일	34.13	37.12	40.07	34.12	-8.13%
2024년 12월 01일	37.15	34.05	37.19	34.05	+8.78%
2024년 11월 01일	34.15	34.08	34.24	32.50	+1.61%
2024년 10월 01일	33.61	31.07	34.09	31.07	+12.63%
2024년 09월 01일	29.84	32.12	34.17	29.70	-7.07%
2024년 08월 01일	32.11	34.61	39.20	32.11	-7.36%
2024년 07월 01일	34.66	36.10	37.15	34.66	-3.96%
2024년 06월 01일	36.09	34.62	38.71	34.08	+4.37%
2024년 05월 01일	34.58	36.62	37.78	29.34	-5.54%
2024년 04월 01일	36.61	38.65	40.15	36.59	-5.25%
2024년 03월 01일	38.64	32.09	38.64	32.05	+20.67%
2024년 02월 01일	32.02	33.12	33.18	30.59	+1.14%
2024년 01월 01일	31.66	27.15	31.67	27.02	+16.70%
2023년 12월 01일	27.13	28.69	30.12	26.22	-6.77%
2023년 11월 01일	29.10	43.10	43.14	29.10	-32.56%
2023년 10월 01일	43.15	33.99	46.11	33.98	+26.35%
2023년 09월 01일	34.15	32.55	34.15	29.53	+4.79%
2023년 08월 01일	32.59	25.59	35.03	25.55	+27.16%
2023년 07월 01일	25.63	32.96	33.79	25.55	-22.94%
2023년 06월 01일	33.26	39.51	39.59	33.04	-16.28%
2023년 05월 01일	39.73	45.61	48.23	39.65	-12.89%
2023년 04월 01일	45.61	44.05	47.09	44.05	+1.67%
2023년 03월 01일	44.86	43.59	46.16	41.09	-0.22%
2023년 02월 01일	44.96	41.68	46.66	39.65	+6.14%
2023년 01월 01일	42.36	54.19	54.19	40.50	-21.56%
2022년 12월 01일	54.00	49.89	57.68	48.93	+8.00%
2022년 11월 01일	50.00	68.16	78.09	50.00	-25.88%
2022년 10월 01일	67.46	58.17	67.46	54.17	+15.97%
2022년 09월 01일	58.17	33.13	59.18	30.52	+78.76%
2022년 08월 01일	32.54	41.16	43.75	32.12	-20.28%
2022년 07월 01일	40.82	51.73	54.71	40.82	-22.22%
2022년 06월 01일	52.48	45.16	52.48	44.70	+17.75%
2022년 05월 01일	44.57	39.61	47.27	39.61	+11.62%
2022년 04월 01일	39.93	28.83	40.16	28.29	+38.36%
2022년 03월 01일	28.86	30.66	35.48	28.23	-9.05%
2022년 02월 01일	31.73	25.53	31.73	25.50	+24.29%
2022년 01월 01일	25.53	21.56	25.53	21.56	+16.20%
2021년 12월 01일	21.97	21.06	22.06	19.45	+6.14%
2021년 11월 01일	20.70	19.35	20.70	19.23	+7.31%
2021년 10월 01일	19.29	20.13	22.23	19.18	-3.89%
2021년 09월 01일	20.07	18.03	20.14	17.78	+9.73%
2021년 08월 01일	18.29	19.32	19.32	18.29	-4.84%
2021년 07월 01일	19.22	18.81	19.56	18.62	+2.89%
2021년 06월 01일	18.68	19.20	19.25	18.65	-2.05%
2021년 05월 01일	19.07	20.82	20.82	19.04	-7.56%
2021년 04월 01일	20.63	22.84	22.86	20.59	-10.23%
2021년 03월 01일	22.98	22.99	24.77	20.79	-2.79%
2021년 02월 01일	23.64	25.99	25.99	22.47	-9.32%
2021년 01월 01일	26.07	22.98	26.26	22.74	+14.80%
2020년 12월 01일	22.71	21.59	22.97	21.06	+4.46%
2020년 11월 01일	21.74	26.12	26.20	21.59	-17.05%
2020년 10월 01일	26.21	27.12	27.13	24.64	-3.53%
2020년 09월 01일	27.17	22.62	28.20	22.18	+18.85%
2020년 08월 01일	22.86	24.35	24.67	22.09	-6.12%
2020년 07월 01일	24.35	28.70	28.74	23.96	-14.92%
2020년 06월 01일	28.62	27.78	29.23	22.79	+1.42%
2020년 05월 01일	28.22	34.78	38.10	27.20	-18.04%
2020년 04월 01일	34.43	40.85	43.86	30.84	-13.49%
2020년 03월 01일	39.80	33.26	61.25	30.68	+14.53%
2020년 02월 01일	34.75	28.05	34.75	22.59	+30.49%
2020년 01월 01일	26.63	22.71	27.15	21.53	+17.99%
2019년 12월 01일	22.57	28.17	28.23	22.44	-20.64%
2019년 11월 01일	28.44	29.76	29.89	27.75	-4.56%
2019년 10월 01일	29.80	34.67	34.93	29.76	-13.87%
2019년 09월 01일	34.60	33.73	35.25	29.23	+2.88%
2019년 08월 01일	33.63	29.70	34.33	29.57	+15.13%
2019년 07월 01일	29.21	32.84	33.68	29.09	-10.97%
2019년 06월 01일	32.81	38.26	38.36	31.76	-12.44%
2019년 05월 01일	37.47	32.23	37.52	32.23	+15.90%
2019년 04월 01일	32.33	33.67	34.28	31.72	-6.75%
2019년 03월 01일	34.67	30.18	34.87	28.68	+13.93%
2019년 02월 01일	30.43	34.27	34.42	30.31	-9.54%
2019년 01월 01일	33.64	39.76	41.77	33.64	-15.35%
2018년 12월 01일	39.74	41.82	43.45	37.62	-3.40%
2018년 11월 01일	41.14	41.30	44.37	40.54	-0.32%
2018년 10월 01일	41.27	38.30	41.79	38.02	+8.41%
2018년 09월 01일	38.07	42.21	43.21	38.04	-9.25%
2018년 08월 01일	41.95	41.76	43.45	40.47	-0.64%
2018년 07월 01일	42.22	50.70	51.22	40.50	-16.73%
2018년 06월 01일	50.70	43.77	53.38	43.28	+13.12%
2018년 05월 01일	44.82	45.82	71.68	40.89	-0.29%
2018년 04월 01일	44.95	53.20	53.22	44.95	-15.32%
2018년 03월 01일	53.08	50.69	55.67	42.77	+4.22%
2018년 02월 01일	50.93	50.06	59.03	48.56	+1.74%
2018년 01월 01일	50.06	53.50	53.50	42.19	-6.18%
2017년 12월 01일	53.36	58.89	58.89	53.22	-8.86%
2017년 11월 01일	58.55	71.28	73.22	57.43	-20.17%
2017년 10월 01일	73.34	75.29	75.29	69.76	-2.08%
2017년 09월 01일	74.90	60.46	75.75	60.46	+24.11%
2017년 08월 01일	60.35	58.03	70.38	57.42	+4.67%
2017년 07월 01일	57.66	53.43	62.62	53.43	+7.92%
2017년 06월 01일	53.43	56.02	56.28	50.09	-5.72%
2017년 05월 01일	56.67	56.59	59.92	55.21	-0.11%
2017년 04월 01일	56.73	51.74	61.47	51.28	+10.11%
2017년 03월 01일	51.52	45.25	52.27	42.72	+14.01%
2017년 02월 01일	45.19	47.85	48.11	44.08	-4.08%
2017년 01월 01일	47.11	44.38	49.86	43.92	+6.15%
2016년 12월 01일	44.38	49.78	49.78	41.15	-11.47%
2016년 11월 01일	50.13	41.97	54.72	41.94	+18.79%
2016년 10월 01일	42.20	42.47	42.48	40.94	-0.64%
2016년 09월 01일	42.47	43.41	45.38	40.16	-1.58%
2016년 08월 01일	43.15	49.86	51.86	43.15	-15.18%
2016년 07월 01일	50.87	58.82	58.82	47.14	-10.91%
2016년 06월 01일	57.10	59.52	64.75	57.10	-3.25%
2016년 05월 01일	59.02	64.25	65.24	58.30	-8.14%
