No.,회계연도,결산예산구분명,지출목성질코드,지출성질목명,지출목코드,지출목명,지출금액(조원)
"1","2023","결산","100","인건비","110","인건비",45.9
"2","2023","결산","200","물건비","210","운영비",25.4
"3","2023","결산","200","물건비","220","여비",0.7
"4","2023","결산","200","물건비","230","특수활동비",0.1
"5","2023","결산","200","물건비","240","업무추진비",0.2
"6","2023","결산","200","물건비","250","직무수행경비",1.0
"7","2023","결산","200","물건비","260","연구용역비",2.8
"8","2023","결산","200","물건비","270","안보비",0.8
"9","2023","결산","200","물건비","280","정보보안비",0.1
"10","2023","결산","300","이전지출","310","보전금",27.9
"11","2023","결산","300","이전지출","320","민간이전",126.4
"12","2023","결산","300","이전지출","330","자치단체이전",217.6
"13","2023","결산","300","이전지출","340","해외이전",2.0
"14","2023","결산","300","이전지출","350","일반출연금",23.9
"15","2023","결산","300","이전지출","360","연구개발출연금",29.8
"16","2023","결산","400","자산취득","410","건설보상비",3.0
"17","2023","결산","400","자산취득","420","건설비",14.4
"18","2023","결산","400","자산취득","430","유형자산",15.8
"19","2023","결산","400","자산취득","440","무형자산",0.0
"20","2023","결산","400","자산취득","450","융자금",39.6
"21","2023","결산","400","자산취득","460","출자금",7.2
"22","2023","결산","400","자산취득","490","지분취득비",0.0
"23","2023","결산","500","상환지출","510","상환지출",23.7
"24","2023","결산","600","전출금등","610","전출금등",0.0
"25","2023","결산","700","예비비및기타","710","예비비및기타",1.2
"26","2022","결산","100","인건비","110","인건비",44.2
"27","2022","결산","200","물건비","210","운영비",27.8
"28","2022","결산","200","물건비","220","여비",0.6
"29","2022","결산","200","물건비","230","특수활동비",0.2
"30","2022","결산","200","물건비","240","업무추진비",0.2
"31","2022","결산","200","물건비","250","직무수행경비",1.0
"32","2022","결산","200","물건비","260","연구용역비",3.1
"33","2022","결산","200","물건비","270","안보비",0.8
"34","2022","결산","300","이전지출","310","보전금",29.8
"35","2022","결산","300","이전지출","320","민간이전",162.7
"36","2022","결산","300","이전지출","330","자치단체이전",238.9
"37","2022","결산","300","이전지출","340","해외이전",1.9
"38","2022","결산","300","이전지출","350","일반출연금",25.9
"39","2022","결산","300","이전지출","360","연구개발출연금",27.6
"40","2022","결산","400","자산취득","410","건설보상비",2.3
"41","2022","결산","400","자산취득","420","건설비",13.5
"42","2022","결산","400","자산취득","430","유형자산",14.8
"43","2022","결산","400","자산취득","440","무형자산",0.1
"44","2022","결산","400","자산취득","450","융자금",45.4
"45","2022","결산","400","자산취득","460","출자금",9.7
"46","2022","결산","400","자산취득","490","지분취득비",0.1
"47","2022","결산","500","상환지출","510","상환지출",19.3
"48","2022","결산","600","전출금등","610","전출금등",0.0
"49","2022","결산","700","예비비및기타","710","예비비및기타",1.1
"50","2021","결산","100","인건비","110","인건비",42.8
"51","2021","결산","200","물건비","210","운영비",26.3
"52","2021","결산","200","물건비","220","여비",0.5
"53","2021","결산","200","물건비","230","특수활동비",0.2
"54","2021","결산","200","물건비","240","업무추진비",0.2
"55","2021","결산","200","물건비","250","직무수행경비",1.0
"56","2021","결산","200","물건비","260","연구용역비",3.2
"57","2021","결산","200","물건비","270","안보비",0.7
"58","2021","결산","300","이전지출","310","보전금",24.2
"59","2021","결산","300","이전지출","320","민간이전",134.0
"60","2021","결산","300","이전지출","330","자치단체이전",207.9
"61","2021","결산","300","이전지출","340","해외이전",1.9
"62","2021","결산","300","이전지출","350","일반출연금",23.1
"63","2021","결산","300","이전지출","360","연구개발출연금",25.4
"64","2021","결산","400","자산취득","410","건설보상비",1.8
"65","2021","결산","400","자산취득","420","건설비",13.6
"66","2021","결산","400","자산취득","430","유형자산",16.2
"67","2021","결산","400","자산취득","440","무형자산",0.1
"68","2021","결산","400","자산취득","450","융자금",47.7
"69","2021","결산","400","자산취득","460","출자금",10.5
"70","2021","결산","400","자산취득","490","지분취득비",0.1
"71","2021","결산","500","상환지출","510","상환지출",16.2
"72","2021","결산","700","예비비및기타","710","예비비및기타",1.2
"73","2020","결산","100","인건비","110","인건비",41.0
"74","2020","결산","200","물건비","210","운영비",20.3
"75","2020","결산","200","물건비","220","여비",0.5
"76","2020","결산","200","물건비","230","특수활동비",0.2
"77","2020","결산","200","물건비","240","업무추진비",0.2
"78","2020","결산","200","물건비","250","직무수행경비",1.0
"79","2020","결산","200","물건비","260","연구용역비",3.0
"80","2020","결산","200","물건비","270","안보비",0.6
"81","2020","결산","300","이전지출","310","보전금",21.7
"82","2020","결산","300","이전지출","320","민간이전",114.0
"83","2020","결산","300","이전지출","330","자치단체이전",195.2
"84","2020","결산","300","이전지출","340","해외이전",1.5
"85","2020","결산","300","이전지출","350","일반출연금",24.2
"86","2020","결산","300","이전지출","360","연구개발출연금",22.6
"87","2020","결산","400","자산취득","410","건설보상비",1.5
"88","2020","결산","400","자산취득","420","건설비",13.0
"89","2020","결산","400","자산취득","430","유형자산",15.9
"90","2020","결산","400","자산취득","440","무형자산",0.0
"91","2020","결산","400","자산취득","450","융자금",44.6
"92","2020","결산","400","자산취득","460","출자금",11.4
"93","2020","결산","400","자산취득","490","지분취득비",0.1
"94","2020","결산","500","상환지출","510","상환지출",15.6
"95","2020","결산","600","전출금등","610","전출금등",0.1
"96","2020","결산","700","예비비및기타","710","예비비및기타",1.3
"97","2019","결산","100","인건비","110","인건비",39.0
