Date,Asset_Securities,Liability_Securities
2015/Q3,219812.2,541748.6
2015/Q4,235457.8,550718.5
2016/Q1,249288.2,563760.9
2016/Q2,266922.8,565107.5
2016/Q3,294319.2,618642.4
2016/Q4,304903.7,573264.6
2017/Q1,340166.6,662892.0
2017/Q2,368206.2,712185.6
2017/Q3,394746.7,714850.8
2017/Q4,424646.8,773912.5
2018/Q1,452315.0,777121.3
2018/Q2,457525.3,729633.0
2018/Q3,477120.3,741948.8
2018/Q4,464979.1,666590.3
2019/Q1,509411.5,695819.1
2019/Q2,538687.5,707189.1
2019/Q3,549441.6,687620.6
2019/Q4,577848.3,741955.7
2020/Q1,530457.1,620011.7
2020/Q2,593775.7,701945.5
2020/Q3,632193.6,775004.3
2020/Q4,708262.5,975037.7
2021/Q1,737459.9,996747.2
2021/Q2,787702.9,1054637.2
2021/Q3,794194.0,966480.9
2021/Q4,836017.3,994726.9
2022/Q1,810942.4,943148.5
2022/Q2,742711.0,805147.8
2022/Q3,707408.5,719237.8
2022/Q4,739459.6,814533.5
2023/Q1,776844.2,852159.2
2023/Q2,806163.1,899874.0
2023/Q3,798927.4,863000.3
2023/Q4,858388.8,953728.0
2024/Q1,905277.0,981753.8
2024/Q2,932697.2,985972.5
2024/Q3,997226.6,955828.2
2024/Q4,994254.3,834934.1
2025/Q1,1011838.4,864989.1
2025/Q2,1124997.3,1051.0
